Date,Adj Close,Close,High,Low,Open,Volume
,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT
2020-01-02,153.63067626953125,160.6199951171875,160.72999572753906,158.3300018310547,158.77999877929688,22622100
2020-01-03,151.71774291992188,158.6199951171875,159.9499969482422,158.05999755859375,158.32000732421875,21116200
2020-01-06,152.10987854003906,159.02999877929688,159.10000610351562,156.50999450683594,157.0800018310547,20813700
2020-01-07,150.72300720214844,157.5800018310547,159.6699981689453,157.32000732421875,159.32000732421875,21634100
2020-01-08,153.12376403808594,160.08999633789062,160.8000030517578,157.9499969482422,158.92999267578125,27746500
2020-01-09,155.03672790527344,162.08999633789062,162.22000122070312,161.02999877929688,161.83999633789062,21385000
2020-01-10,154.3193817138672,161.33999633789062,163.22000122070312,161.17999267578125,162.82000732421875,20725900
2020-01-13,156.17494201660156,163.27999877929688,163.30999755859375,161.25999450683594,161.75999450683594,21626500
2020-01-14,155.074951171875,162.1300048828125,163.60000610351562,161.72000122070312,163.38999938964844,23477400
2020-01-15,156.07928466796875,163.17999267578125,163.94000244140625,162.57000732421875,162.6199951171875,21417900
2020-01-16,158.93919372558594,166.1699981689453,166.24000549316406,164.02999877929688,164.35000610351562,23865400
2020-01-17,159.82870483398438,167.10000610351562,167.47000122070312,165.42999267578125,167.4199981689453,34371700
2020-01-21,159.2548065185547,166.5,168.19000244140625,166.42999267578125,166.67999267578125,29517200
2020-01-22,158.48963928222656,165.6999969482422,167.49000549316406,165.67999267578125,167.39999389648438,24138800
2020-01-23,159.46527099609375,166.72000122070312,166.8000030517578,165.27000427246094,166.19000244140625,19680800
2020-01-24,157.85833740234375,165.0399932861328,167.52999877929688,164.4499969482422,167.50999450683594,24918100
2020-01-27,155.21847534179688,162.27999877929688,163.3800048828125,160.1999969482422,161.14999389648438,32078100
2020-01-28,158.2600555419922,165.4600067138672,165.75999450683594,163.07000732421875,163.77999877929688,24899900
2020-01-29,160.727783203125,168.0399932861328,168.75,165.69000244140625,167.83999633789062,34754500
2020-01-30,165.26158142089844,172.77999877929688,174.0500030517578,170.7899932861328,174.0500030517578,51597500
2020-01-31,162.82252502441406,170.22999572753906,172.39999389648438,169.5800018310547,172.2100067138672,36142700
2020-02-03,166.79193115234375,174.3800048828125,174.5,170.39999389648438,170.42999267578125,30107000
2020-02-04,172.2821502685547,180.1199951171875,180.63999938964844,176.30999755859375,177.13999938964844,36433300
2020-02-05,172.07174682617188,179.89999389648438,184.1999969482422,178.41000366210938,184.02999877929688,39186300
2020-02-06,175.63941955566406,183.6300048828125,183.82000732421875,180.05999755859375,180.97000122070312,27751400
2020-02-07,175.88809204101562,183.88999938964844,185.6300048828125,182.47999572753906,182.85000610351562,33529100
2020-02-10,180.48876953125,188.6999969482422,188.83999633789062,183.25,183.5800018310547,35844300
2020-02-11,176.41415405273438,184.44000244140625,190.6999969482422,183.5,190.64999389648438,53159900
